category,factor_id,geography,iso3,subcategory,activity,variant,technology_fuel_material,destination_origin_supplier,input_unit,activity_year,activity_year_scope,factor_year,factor_value,factor_unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
Materiales y productos,MAT_A9E7965D7EA184,TODOS,,Madera,Madera,,,Producción de materia prima,kg,2023,,2023,0.269504,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_3567E75054AD86,TODOS,,Madera,Madera,,,Producción de materia prima,kg,2024,,2024,0.269504,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_418D994CD81D7F,TODOS,,Madera,Madera,,,Producción de materia prima,kg,2025,,2025,0.26950416,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_6D0D0E0A382256,TODOS,,Madera,Madera,,,Producción de materia prima,kg,2026,,2026,0.26950416,kgCO2e/kg,ANNUAL,DEFRA 2026,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,DEFRA 2026 exacto; se corrige la cabecera temporal de la referencia.,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_071091A9C47616,TODOS,,Madera,Madera,,,Reciclado (Circuito cerrado),kg,2022,,2022,0.112969683723424,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_6CF2338F03818B,TODOS,,Madera,Madera,,,Reciclado (Circuito cerrado),kg,2023,,2023,0,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_511FF809BC81F1,TODOS,,Madera,Madera,,,Reciclado (Circuito cerrado),kg,2024,,2024,0,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_A5920FF1446E58,TODOS,,Madera,Madera,,,Reciclado (Circuito cerrado),kg,2025,,2025,0,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_C6F4CD33008A77,TODOS,,Madera,Madera,,,Reciclado (Circuito cerrado),kg,2026,,2026,0,kgCO2e/kg,ANNUAL,DEFRA 2026,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,DEFRA 2026 exacto; se corrige la cabecera temporal de la referencia.,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_4D39E4801110BB,TODOS,,Madera,Madera,,,Reutilizado,kg,2022,,2022,0.03854,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_MADERAS_CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,MADERA_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
