country,iso3,region_residuos
Sri Lanka,LKA,Fuera de España
Sudáfrica,ZAF,Fuera de España
Sudán,SDN,Fuera de España
Sudán del Sur,SSD,Fuera de España
Suecia,SWE,Fuera de España
Suiza,CHE,Fuera de España
Surinam,SUR,Fuera de España
Tailandia,THA,Fuera de España
Taiwán (República de China),TWN,Fuera de España
Tanzania,TZA,Fuera de España
Tayikistán,TJK,Fuera de España
Timor Oriental,TLS,Fuera de España
Togo,TGO,Fuera de España
Tonga,TON,Fuera de España
Trinidad y Tobago,TTO,Fuera de España
Turkmenistán,TKM,Fuera de España
Turquía,TUR,Fuera de España
Tuvalu,TUV,Fuera de España
Túnez,TUN,Fuera de España
Ucrania,UKR,Fuera de España
Uganda,UGA,Fuera de España
Uruguay,URY,Fuera de España
Uzbekistán,UZB,Fuera de España
Vanuatu,VUT,Fuera de España
Venezuela,VEN,Fuera de España
Vietnam,VNM,Fuera de España
Yemen,YEM,Fuera de España
Yibuti,DJI,Fuera de España
Zambia,ZMB,Fuera de España
Zimbabue,ZWE,Fuera de España
